"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
38UVZ9VT,book,2001,"Millán, José Antonio",Internet y el español,,84-931542-7-X,,,,,2001,2013-08-22 09:18:39,2024-03-19 21:01:18,,,289,,,,,,Biblioteca Fundación Retevisión,,,,Fundación Retevisión,Madrid,Spanish,,,,,Library of Congress ISBN,ZA4201 .M55 2001,00056,"<div class=""comment"">
<p>This book needs an abstract or excerpt, and it doesn't have a Google Books description available to use. For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,#nosource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B3U9CBZV,book,2006,"Cerezo, José M.",La blogosfera hispana: pioneros de la cultura digital,,,,,http://www.fundacionorange.es/areas/25_publicaciones/la_blogosfera_hispana.pdf,,2006,2013-09-13 07:53:53,2024-03-19 21:01:17,,,,,,,,,,,,,Fundación France Telecom España,,Spanish,,,,,,,00002,"<div class=""comment"">
<p>This book needs an abstract or excerpt, and it doesn't have a Google Books description available to use. For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,#nosource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSGUF7XU,book,2001,"Castells, Manuel",La Galaxia Internet,,,,,,,2001,2013-08-14 12:10:22,2024-03-19 21:01:16,,,,,,,,,,,,,Plaza & Janés,Barcelona,Spanish,,,,,,,00028,,,,#nosource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B4DB5U94,book,1996,"Millán, José Antonio",La edición electrónica y multimedia,,,,,,,1996,2013-08-18 10:03:37,2024-03-19 21:01:16,,,,,,,,,,,,,Tesitex,Salamanca,Spanish,,,,,,,00005,"<div class=""comment"">
<p>This book needs an abstract or excerpt, and it doesn't have a Google Books description available to use. For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,#nosource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36QXTBCH,book,2014,,"Humanidades Digitales: desafíos, logros y perspectivas de futuro",,,,,http://www.janusdigital.es/anexo.htm?id=5,,2014-11-04,2014-05-11 14:42:02,2024-03-19 21:01:11,2014-05-11 14:42:02,,,,,,,,,,,,SIELAE,A Coruña,,,,,,,,00005,"<div class=""comment"">
<p>This book needs an abstract or excerpt, and it doesn't have a Google Books description available to use. For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,#nosource,,"López Poza, Sagrario; Pena Sueiro, Nieves",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM8CUNDT,book,2014,"Escandell Montiel, Daniel",Escrituras para el siglo XXI. Literaturas y blogosfera,,,,,,,2014,2014-03-28 14:14:37,2024-03-19 21:01:10,,,342,,,,,,,,,,Iberoamericana / Vervuert,Madrid,,,,,,,,00000,"

<div class=""comment"">
<p>This description was automatically added from 
<a href=""https://books.google.com/books?id=JK8VXK7QMNAC"">Google Books</a>. 
For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,#nosource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQUJRKHN,book,2013,,Teatro e Internet en la década del siglo XXI,,,,,,,2013,2014-03-26 19:20:13,2024-03-19 21:01:10,,,556,,,,,,,,,,Verbum,Madrid,,,,,,,,00012,"Teatro e Internet en la primera década del siglo XXI, volumen editado por José Romera Castillo, recoge las sesiones plenarias, impartidas por destacados dramaturgos y críticos, así como las comunicaciones expuestas (tras previa selección) en el XXII Seminario Internacional del Centro de Investigación de Semiótica Literaria, Teatral y Nuevas Tecnologías de la Universidad Nacional de Educación a Distancia, del 25 al 27 de junio de 2012. El volumen, que continúa una larga y rigurosa labor(como puede verse en http://www.uned.es/centro-investigacion-SELITEN@T), ofrece una serie de aportaciones pioneras en la investigación teatral en España (y fuera de ella) sobre el tema en el periodo indicado.

<div class=""comment"">
<p>This description was automatically added from 
<a href=""https://books.google.com/books?id=JK8VXK7QMNAC"">Google Books</a>. 
For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,#nosource,,"Romera Castillo, José",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G49855EC,book,2006,"Orihuela, José Luis",La Revolución de los blogs: cuando las bitácoras se convirtieron en el medio de comunicación de la gente,,,,,,,2006,2014-02-08 18:23:31,2024-03-19 21:01:09,,,283,,,,,,,,,,La Esfera de los Libros,Madrid,,,,,,,,00055,"Los weblogs, blogs, cuadernos de bitácora o simplemente bitácoras son los sitios web personales que están poniendo la Red al alcance de todo el mundo. 'La revolución de los blogs' examina los principales ámbitos de impacto de los weblogs - sobre el periodismo, la empresa, la educación o la política - con ejemplos y referencias para comprender cómo y por qué este nuevo medio está cambiando nuestra cultura y generando otra nueva; la blogosfera.",,,#nosource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUXFNA6B,book,2011,,La propiedad intelectual en la era digital: límites e infracciones a los derechos de autor en internet,,,,,,,2011,2014-03-19 14:31:31,2024-03-19 21:01:09,,,,,,,,,,,,,La Ley. Grupo Wolters Kluwer,,,,,,,,,00000,"La digitalización y los sistemas de telecomunicación alteran de forma relevante la práctica de los derechos de autor vigente, se puede decir desde la invención de la imprenta. La reacción frente a los cambios se produce en numerosos campos, queriéndose lograr un real control tecnológico de las obras y un refuerzo jurídico de la posición de los autores. Pero lo que resulta más difícil conseguir es el punto adecuado para el nuevo equilibrio entre los intereses en juego, especialmente por el peso económico que adquiere en el nuevo contexto la información y los contenidos de las obras de todo tipo. Probablemente uno de los aspectos más significativos a la hora de fijar los nuevos equilibrios son precisamente los límites e infracciones a la explotación en exclusiva de los derechos reconocidos al titular sobre las obras, así como las infracciones a tales derechos creadas por el legislador. Límites e infracciones que marcan la amplitud de capacidades otorgadas por el ordenamiento jurídico, combinando las legítimas expectativas del creador y el indudable interés general en el acceso a obras de cultura y conocimiento por los miembros de una sociedad. Entre las infracciones a los derechos de autor que el legislador interpone para su defensa destacan las de carácter penal por sus consecuencias de todo tipo para el autor del hecho ilícito.",,,#nosource,,"Mata Marín, Ricardo Manuel; Javato Martín, Antonio María",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NABDPDD9,book,2004,"Pajares Tosca, Susana",Literatura digital: el paradigma hipertextual,,,,,,,2004,2013-08-13 08:12:13,2024-03-19 21:01:08,,,171,,,,,,,,,,Universidad de Extremadura,Cáceres,,,,,,,,00041,,,,#nosource; Hipertexto; Teoría,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MF53K9VH,book,2001,"Reynal, Vicente",Las humanidades en la era digital,,0-8447-0112-3,,,http://books.google.co.uk/books?id=BJOQBxQOi2oC&lpg=PR7&ots=gtGfb0m8xJ&dq=humanidades%20digitales&lr&pg=PP1#v=onepage&q&f=false,,2001,2013-11-21 15:54:47,2024-03-19 21:01:08,,,,,,,,,,,,,Universidad de Puerto Rico,San Juan,,,,,,,,00001,,,,#nosource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9USS79CK,book,2000,"Vouillamoz, Núria",Literatura e hipermedia: la irrupción de la literatura interactiva,,,,,,,2000,2013-08-21 18:52:05,2024-03-19 21:01:08,,,207,,,,,,,,,,Paidós,Barcelona,Spanish,,,,,,,00087,"<div class=""comment"">
<p>This book needs an abstract or excerpt, and it doesn't have a Google Books description available to use. For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,#nosource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T9RBNGJE,book,2015,"Pérez López, Mª Ángeles; Sánchez Aparicio, Vega",Letras y bytes. Escrituras y nuevas tecnologías,,,,,http://www.reichenberger.de/Pages/plit77.html,,2015,2015-08-23 19:40:57,2024-03-19 21:01:08,,,,,,,,,,,,,Edition Reichenberger,Kassel,,,,,,,,,"

<div class=""comment"">
<p>This description was automatically added from 
<a href=""https://books.google.com/books?id=JK8VXK7QMNAC"">Google Books</a>. 
For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,#nosource,,"Noguerol, Francisca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAMAHI3N,book,1998,"Moreno Hernández, Carlos",Literatura e hipertexto: de la cultura manuscrita a la cultura electrónica,,84-362-3683-1 978-84-362-3683-5,,,,,1998,2013-08-28 15:45:32,2024-03-19 21:01:08,,,,,,,,Literatura e hipertexto,,,,,Universidad Nacional de Educación a Distancia,Madrid,Spanish,,,,,Open WorldCat,,00031,,,,#nosource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7JFKTFWC,book,2008,"Pardo Salgado, Carmen",Las TIC: una reflexión filosófica,,,,,,"La razón técnica se encarna hoy en las Tecnologías de la Información y la Comunicación y en sus efectos en la transformación de la producción y transmisión del saber. Con ella se insta a sustituir -en las sociedades postindustriales-, a la antigua mano de obra por un nuevo capital humano fundado en el conocimiento. En el ca mino hacia esta sociedad cohabitan los antiguos discursos ilustrados junto a la exigencia de una formación permanente que hace del conocimiento un valor de cambio. En esta situación y alejándonos tanto de un discurso que demoniza la técnica como de los discursos complacientes que hacen de ella la panacea para todos los males, interrogamos de nuevo nuestra relación con la técnica y sus nexos con el sistema económico, político y social en el que se encuentra.",2008,2014-12-31 12:38:05,2024-03-19 21:01:08,,,,,,,,,,,,,Laertes,Barcelona,,,,,,,,,,,,#nosource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JQHKJZX8,book,2008,,Literaturas del texto al hipermedia,,978-84-7658-888-8 84-7658-888-7,,,,,2008,2013-08-26 07:53:28,2024-03-19 21:01:08,,,,,,,,,,,,,Anthropos,Rubí,Spanish,,,,,Open WorldCat,,00006,"Contenido La tecnología aplicada a la información, la comunicación y la cultura ha sido a lo largo de la historia de la humanidad un factor clave. El impacto tecnológico digital es constante en la cultura del siglo XXI y plantea retos que la literatura debe ir sopesando, poniendo a prueba e incorporando a sus planteamientos de creación, criterios de transmisión y perpetuidad histórica. El objetivo de este volumen es analizar y transmitir cómo las tecnologías están transformando nuestros modos de pensar y también cómo nuestros modos de pensar cambian la tecnología.",,,#nosource,,"Romero López, Dolores; Sanz Cabrerizo, Ángeles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8QKCASNZ,book,2013,,Imágenes de la tecnología y la globalización en las literaturas hispánicas,,,,,http://www.ibero-americana.net/cgi-bin/infodetail.cgi?doknr=521750&lang=es&txt=einleitung,"Imágenes de la tecnología y la globalización en las literaturas hispánicas / Jesús Montoya Juárez, Ángel Esteban del Campo (eds.) recoge una serie de estudios donde se reflexiona sobre las conexiones de la literatura con las nuevas tecnología y los medios de comunicación.   Compuesta por ensayos de especialistas como Jorge Carrión, Francisca Noguerol, Daniel Mesa Gancedo o Doménico Chiappe, entre otros, se abordan algunas pautas sobre la última narrativa en español, los textos en la nueva identidad digital y el hibridismo tecnológico en la literatura hispánica actual.",2013,2014-03-01 14:19:38,2024-03-19 21:01:07,,,284,,,,,,,,,,Iberoamericana - Vervuert,Madrid - Frankfurt,,,,,,,,00000,"<div class=""comment"">
<p>This book needs an abstract or excerpt, and it doesn't have a Google Books description available to use. For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,#nosource,,"Montoya Juárez, Jesús; Esteban del Campo, Ángel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R6TMQXES,book,2019,"Fry, Hannah",Hola mundo: cómo seguir siendo humanos en la era de los algoritmos,,978-84-17552-41-1,,,,,2019,2021-08-05 09:42:55,2024-03-19 21:01:07,,,,,,,,Hola mundo,,,,,,,Traducció de: Hello world : being human in the age of algorithms,,,,,Open WorldCat,,00000  OCLC: 1139473619,"

<div class=""comment"">
<p>This description was automatically added from 
<a href=""https://books.google.com/books?id=JK8VXK7QMNAC"">Google Books</a>. 
For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,#nosource,,,,"Ramos, Francisco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4HWSH3PA,book,2017,,Sustainable surfing,,978-1-138-93075-9,,,,,2017,2017-03-22 15:52:20,2024-03-19 21:01:06,,,,,,,,,,,,,Routledge,"Abingdon, Oxon ; New York, NY",,,,,,Library of Congress ISBN,GV839.5 .S88 2017,00000,"<p>Sustainability and surfing in a risk society / Gregory Borne -- Resource system boundaries, ecosystems, management, stakeholders / Steve Martin and Danny O'Obrien -- Technology, industry , and sustainability -- The technological epoch of surfing, its implications and impacts and the potential for sustainability to theme the next epoch / Leon Mach -- Towards more sustainable business practices in surf industry clusters / Anna Gerke -- Surfboard manufacturing technologies / Chris Gibson &amp; Andy Warren -- Surfing voices in coastal management : Gold Coast surf management plan / Dan Ware, Neil Lazarow and Rob Hales -- International surfing activism / Rob Hales, Neil Lazarow and Dan Ware -- Hedonic pricing and strategies for ensuring local value from surf driven coastal exploitation / Jason Scorse -- Localism and opportunity or barrier to achieving sustainability / Lindsay Usher -- Wilderness surfing experiences, development responses / Mark Orams -- Surfing spaces / Jon Anderson -- Culture, meaning and sustainability in surfing / Neil Lazarow and Rebecca Olive -- Nirvanification in the age of simulated surfing environments / Jess Ponting -- Sustainability and surfing : themes and synergies, future directions / Gregory Borne</p>",,,#nosource,Economic aspects; Environmental aspects; Sustainability; Environmental sustainability; Surfing,"Borne, Gregory; Ponting, Jess",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBP2DCZM,book,2015,,"Textos, pixeles y bits.  Reflexiones sobre la publicación digital",,,,,http://www.iib.unam.mx/index.php/publicaciones?start=3,"Este libro, publicado en formato digital ―utilizando, precisamente, los nuevos formatos de edición―, es una excelente muestra del análisis sobre los retos actuales que enfrenta la producción editorial en el cada vez más acelerado campo tecnológico.   El uso de las redes sociales y la llamada Web 2.0 han permitido la publicación, por los mismos usuarios, de una enorme cantidad de material digital, como novelas electrónicas, fotografías, ilustraciones y blogs, lo cual ha generado otros tipos de difusión de las distintas formas del saber. Atendiendo estas premisas, los estudios que componen la presente obra buscan responder ―de acuerdo con las palabras de Isabel Galina Russell, coordinadora del volumen― a los siguientes puntos: problematización y definición de publicación digital en el contexto del resguardo de patrimonio bibliográfico; uso de la digitalización para apoyar las tareas de preservación y difusión de materiales históricos; desarrollo de nuevos tipos de publicaciones, en particular las aplicaciones literarias para iPad; reflexión acerca de los retos y dificultades para la preservación de documentación personal digital; relación entre oralidad y escritura en el texto digital y el papel del archivo sonoro; derechos de autor y discusión relativa al deliberado balance entre los controles para la protección de la propiedad intelectual y la importancia del conocimiento abierto y el bien común.   En definitiva, los textos aquí reunidos, los cuales conforman una visión plural y multidisciplinaria, ponen sobre la mesa una temática tan interesante como necesaria.",2015,2015-03-14 00:51:12,2024-03-19 21:01:06,,,,,,,,,,,,,,,es,,,,,,,00000,"<div class=""comment"">
<p>This book needs an abstract or excerpt, and it doesn't have a Google Books description available to use. For a customized abstract or excerpt, add a note to the item in the 
<a href=""github.com/{{github}}/{{BASE_URL}}"">Zotero library</a></p>
</div>",,,#nosource; Publicación digital,,"Galina Russell, Isabel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
